canonical_smiles,molecule_chembl_id,standard_value,value
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,CHEMBL5438568,158.49,6.8
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/CN1CCCCC1,CHEMBL5440872,7.943,8.1
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,CHEMBL5429059,50.12,7.3
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,CHEMBL2110732,19.95,7.7
O=C(Nc1ccccc1)NC1CCCC1,CHEMBL4555578,199526.23,3.7
O=C(Nc1ccccn1)NC1CCCC1,CHEMBL5411401,398107.17,3.4
CN(C(=O)NC1CCCC1)c1ccccc1,CHEMBL5439330,100000.0,4.0
CN(C(=O)NC1CCCC1)c1ccccn1,CHEMBL5425333,1000000.0,3.0
CN(C(=O)Nc1ccccc1)C1CCCC1,CHEMBL5401602,1000000.0,3.0
CN(C(=O)Nc1ccccn1)C1CCCC1,CHEMBL5430172,794328.23,3.1
CN(C(=O)N(C)C1CCCC1)c1ccccc1,CHEMBL5411911,125892.54,3.9
CN(C(=O)N(C)C1CCCC1)c1ccccn1,CHEMBL5420832,1000000.0,3.0
COc1cc2ncnc(NCc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3)c2cc1OCCCN1CCOCC1,CHEMBL5424516,1450.0,1.45
O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,CHEMBL4284413,10000.0,10.0
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL3353410,9.0,0.009
COc1cc(C=O)ccc1OC(=O)c1cc(-c2ccc(C)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,CHEMBL5595106,50000.0,50.0
COc1ccc(-c2cc(C(=O)Oc3ccc(C=O)cc3OC)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL5594443,1000000.0,1000.0
Cc1ccc(-c2cc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)nn2-c2ccccc2)cc1,CHEMBL5592717,1000000.0,1000.0
NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccccc3)n2)cc1,CHEMBL5595541,2700.0,2.7
Cc1ccc(-c2cc(C(=O)Nc3ccc(S(C)(=O)=O)cc3)nn2-c2ccccc2)cc1,CHEMBL5590555,110000.0,110.0
CS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(Cl)cc3)n(-c3ccccc3)n2)cc1,CHEMBL5593705,1700.0,1.7
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CHEMBL1336,3500.0,3.5
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,CHEMBL2110732,5.8,5.8
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,14.4,14.4
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,19.3,19.3
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,CHEMBL545315,1.6,1.6
